date,day_index,baseline_inflow_usd,baseline_outflow_usd,baseline_net_usd,baseline_cash_balance_usd,disturbance_inflow_usd,disturbance_outflow_usd,disturbance_net_usd,disturbance_cash_balance_usd,cash_delta_usd
2026-07-01,0,17918.34,24656.42,-6738.08,493261.92,17918.34,24656.42,-6738.08,493261.92,0.0
2026-07-02,1,64390.88,23101.04,41289.84,534551.76,64390.88,23101.04,41289.84,534551.76,0.0
2026-07-03,2,7083.5,72195.76,-65112.26,469439.5,7083.5,72195.76,-65112.26,469439.5,0.0
2026-07-04,3,63751.89,18012.9,45738.99,515178.49,63751.89,18012.9,45738.99,515178.49,0.0
2026-07-05,4,1870.24,14035.21,-12164.97,503013.52,1870.24,14035.21,-12164.97,503013.52,0.0
2026-07-06,5,15974.03,17179.14,-1205.11,501808.41,15974.03,17179.14,-1205.11,501808.41,0.0
2026-07-07,6,25333.22,18740.41,6592.81,508401.22,25333.22,18740.41,6592.81,508401.22,0.0
2026-07-08,7,914.16,21680.37,-20766.21,487635.01,914.16,22888.66,-21974.5,486426.72,-1208.29
2026-07-09,8,47659.66,2621.73,45037.93,532672.94,47659.66,4596.54,43063.12,529489.84,-3183.1
2026-07-10,9,5468.52,53576.68,-48108.16,484564.78,5468.52,55758.1,-50289.58,479200.26,-5364.52
2026-07-11,10,10704.52,13383.39,-2678.87,481885.91,10704.52,14349.82,-3645.3,475554.96,-6330.95
2026-07-12,11,10287.81,45027.14,-34739.33,447146.58,10287.81,46237.35,-35949.54,439605.42,-7541.16
2026-07-13,12,77858.74,11989.55,65869.19,513015.77,77858.74,13657.95,64200.79,503806.21,-9209.56
2026-07-14,13,22104.67,13943.56,8161.11,521176.88,22104.67,15616.63,6488.04,510294.25,-10882.63
2026-07-15,14,16933.76,9469.32,7464.44,528641.32,16933.76,10644.21,6289.55,516583.8,-12057.52
2026-07-16,15,107957.69,15188.88,92768.81,621410.13,107957.69,16177.59,91780.1,608363.9,-13046.23
2026-07-17,16,14947.43,31383.11,-16435.68,604974.45,14947.43,33750.49,-18803.06,589560.84,-15413.61
2026-07-18,17,904.12,5633.32,-4729.2,600245.25,904.12,6864.03,-5959.91,583600.93,-16644.32
