co_id,customer_id,order_date,quantity_units,unit_price_usd,total_value_usd,fulfillment_date,payment_term_days,invoice_due_date
CO-001,CUST-03,2026-09-01,207,225.01,46577.07,2026-09-18,30,2026-10-18
CO-002,CUST-23,2026-07-18,180,133.88,24098.4,2026-07-31,45,2026-09-14
CO-003,CUST-22,2026-08-15,77,238.1,18333.7,2026-08-27,45,2026-10-11
CO-004,CUST-15,2026-07-27,170,103.81,17647.7,2026-08-10,45,2026-09-24
CO-005,CUST-17,2026-08-12,123,198.49,24414.27,2026-08-22,60,2026-10-21
CO-006,CUST-10,2026-08-19,266,151.36,40261.76,2026-09-01,30,2026-10-01
CO-007,CUST-07,2026-09-03,55,215.71,11864.05,2026-09-15,45,2026-10-30
CO-008,CUST-16,2026-09-25,161,231.3,37239.3,2026-10-14,45,2026-11-28
CO-009,CUST-02,2026-08-20,234,194.24,45452.16,2026-09-02,45,2026-10-17
CO-010,CUST-22,2026-08-21,77,85.19,6559.63,2026-09-04,45,2026-10-19
CO-011,CUST-15,2026-07-08,73,171.3,12504.9,2026-07-17,30,2026-08-16
CO-012,CUST-07,2026-08-16,215,223.14,47975.1,2026-08-23,60,2026-10-22
CO-013,CUST-08,2026-07-30,163,245.89,40080.07,2026-08-06,30,2026-09-05
CO-014,CUST-24,2026-08-24,294,154.63,45461.22,2026-09-07,30,2026-10-07
CO-015,CUST-21,2026-07-12,298,152.81,45537.38,2026-07-21,30,2026-08-20
CO-016,CUST-01,2026-08-17,258,122.54,31615.32,2026-08-30,30,2026-09-29
CO-017,CUST-21,2026-09-02,291,167.84,48841.44,2026-09-21,30,2026-10-21
CO-018,CUST-22,2026-07-26,266,88.11,23437.26,2026-08-02,30,2026-09-01
CO-019,CUST-22,2026-09-07,204,138.12,28176.48,2026-09-26,30,2026-10-26
CO-020,CUST-14,2026-09-28,223,82.92,18491.16,2026-10-07,60,2026-12-06
CO-021,CUST-04,2026-07-23,273,153.75,41973.75,2026-08-06,45,2026-09-20
