receipt_id,po_id,supplier_id,receipt_date,quantity_received,unit_cost_usd,total_value_usd,ap_created,ap_due_date
IR-002,PO-002,S09,2026-07-21,426,43.04,18335.04,True,2026-09-04
IR-004,PO-004,S03,2026-07-26,180,27.5,4950.0,True,2026-09-09
IR-005,PO-005,S01,2026-07-21,392,55.57,21783.44,True,2026-08-20
IR-006,PO-006,S10,2026-08-13,140,44.83,6276.2,True,2026-09-27
IR-008,PO-008,S07,2026-10-11,161,71.01,11432.61,True,2026-11-25
IR-009,PO-009,S12,2026-10-12,459,82.46,37849.14,True,2026-11-26
IR-010,PO-010,S01,2026-09-01,326,55.57,18115.82,True,2026-10-01
IR-012,PO-012,S07,2026-07-24,382,71.01,27125.82,True,2026-09-07
IR-014,PO-014,S07,2026-09-05,340,71.01,24143.4,True,2026-10-20
IR-015,PO-015,S04,2026-08-07,321,12.52,4018.92,True,2026-09-21
IR-016,PO-016,S11,2026-08-20,80,26.31,2104.8,True,2026-10-04
IR-017,PO-017,S07,2026-10-09,286,71.01,20308.86,True,2026-11-23
IR-018,PO-018,S10,2026-09-16,144,44.83,6455.52,True,2026-10-31
IR-020,PO-020,S04,2026-09-15,385,12.52,4820.2,True,2026-10-30
IR-022,PO-022,S01,2026-08-12,484,55.57,26895.88,True,2026-09-11
IR-026,PO-026,S11,2026-08-16,473,26.31,12444.63,True,2026-09-30
IR-027,PO-027,S09,2026-09-12,141,43.04,6068.64,True,2026-10-27
IR-028,PO-028,S04,2026-08-23,367,12.52,4594.84,True,2026-10-07
IR-030,PO-030,S01,2026-07-18,101,55.57,5612.57,True,2026-08-17
IR-032,PO-032,S02,2026-08-27,152,55.88,8493.76,True,2026-09-26
IR-034,PO-034,S08,2026-07-31,222,56.53,12549.66,True,2026-09-29
IR-038,PO-038,S10,2026-08-05,246,44.83,11028.18,True,2026-09-19
IR-039,PO-039,S04,2026-08-23,187,12.52,2341.24,True,2026-10-07
IR-041,PO-041,S07,2026-07-22,397,71.01,28190.97,True,2026-09-05
IR-043,PO-043,S01,2026-07-28,403,55.57,22394.71,True,2026-08-27
IR-044,PO-044,S11,2026-08-03,108,26.31,2841.48,True,2026-09-17
IR-045,PO-045,S03,2026-09-10,251,27.5,6902.5,True,2026-10-25
IR-046,PO-046,S08,2026-09-27,139,56.53,7857.67,True,2026-11-26
IR-047,PO-047,S04,2026-10-07,203,12.52,2541.56,True,2026-11-21
IR-049,PO-049,S02,2026-09-06,293,55.88,16372.84,True,2026-10-06
IR-052,PO-052,S08,2026-09-19,234,56.53,13228.02,True,2026-11-18
IR-053,PO-053,S01,2026-09-30,275,55.57,15281.75,True,2026-10-30
IR-055,PO-055,S06,2026-08-29,329,15.39,5063.31,True,2026-09-28
IR-056,PO-056,S11,2026-08-05,126,26.31,3315.06,True,2026-09-19
IR-057,PO-057,S12,2026-09-20,466,82.46,38426.36,True,2026-11-04
IR-060,PO-060,S12,2026-08-17,267,82.46,22016.82,True,2026-10-01
