po_id,supplier_id,order_date,expected_receipt_date,quantity_units,unit_cost_usd,total_value_usd,status
PO-001,S09,2026-07-15,2026-07-27,256,43.04,11018.24,Open
PO-002,S09,2026-07-09,2026-07-21,426,43.04,18335.04,Received
PO-003,S12,2026-09-26,2026-10-14,235,82.46,19378.1,Open
PO-004,S03,2026-07-08,2026-07-26,180,27.5,4950.0,Received
PO-005,S01,2026-07-05,2026-07-21,478,55.57,26562.46,Partial
PO-006,S10,2026-07-28,2026-08-13,140,44.83,6276.2,Received
PO-007,S08,2026-08-03,2026-08-17,367,56.53,20746.51,Open
PO-008,S07,2026-09-26,2026-10-11,161,71.01,11432.61,Received
PO-009,S12,2026-09-24,2026-10-12,459,82.46,37849.14,Received
PO-010,S01,2026-08-16,2026-09-01,326,55.57,18115.82,Received
PO-011,S01,2026-09-28,2026-10-14,104,55.57,5779.28,Open
PO-012,S07,2026-07-09,2026-07-24,382,71.01,27125.82,Received
PO-013,S10,2026-09-15,2026-10-01,141,44.83,6321.03,Open
PO-014,S07,2026-08-21,2026-09-05,340,71.01,24143.4,Received
PO-015,S04,2026-07-23,2026-08-07,321,12.52,4018.92,Received
PO-016,S11,2026-08-05,2026-08-20,128,26.31,3367.68,Partial
PO-017,S07,2026-09-24,2026-10-09,286,71.01,20308.86,Received
PO-018,S10,2026-08-31,2026-09-16,144,44.83,6455.52,Received
PO-019,S06,2026-07-28,2026-08-06,383,15.39,5894.37,Open
PO-020,S04,2026-08-31,2026-09-15,385,12.52,4820.2,Received
PO-021,S10,2026-09-27,2026-10-13,447,44.83,20039.01,Open
PO-022,S01,2026-07-27,2026-08-12,484,55.57,26895.88,Received
PO-023,S04,2026-07-03,2026-07-18,332,12.52,4156.64,Open
PO-024,S08,2026-08-31,2026-09-14,236,56.53,13341.08,Open
PO-025,S03,2026-08-13,2026-08-31,333,27.5,9157.5,Open
PO-026,S11,2026-08-01,2026-08-16,473,26.31,12444.63,Received
PO-027,S09,2026-08-31,2026-09-12,279,43.04,12008.16,Partial
PO-028,S04,2026-08-08,2026-08-23,367,12.52,4594.84,Received
PO-029,S01,2026-08-25,2026-09-10,200,55.57,11114.0,Open
PO-030,S01,2026-07-02,2026-07-18,101,55.57,5612.57,Received
PO-031,S07,2026-07-01,2026-07-16,323,71.01,22936.23,Open
PO-032,S02,2026-08-13,2026-08-27,152,55.88,8493.76,Received
PO-033,S06,2026-09-06,2026-09-15,346,15.39,5324.94,Open
PO-034,S08,2026-07-17,2026-07-31,222,56.53,12549.66,Received
PO-035,S08,2026-09-08,2026-09-22,424,56.53,23968.72,Open
PO-036,S01,2026-08-28,2026-09-13,300,55.57,16671.0,Open
PO-037,S03,2026-08-28,2026-09-15,247,27.5,6792.5,Open
PO-038,S10,2026-07-20,2026-08-05,246,44.83,11028.18,Received
PO-039,S04,2026-08-08,2026-08-23,227,12.52,2842.04,Partial
PO-040,S01,2026-08-26,2026-09-11,366,55.57,20338.62,Open
PO-041,S07,2026-07-07,2026-07-22,397,71.01,28190.97,Received
PO-042,S10,2026-08-29,2026-09-14,211,44.83,9459.13,Open
PO-043,S01,2026-07-12,2026-07-28,403,55.57,22394.71,Received
PO-044,S11,2026-07-19,2026-08-03,108,26.31,2841.48,Received
PO-045,S03,2026-08-23,2026-09-10,251,27.5,6902.5,Received
PO-046,S08,2026-09-13,2026-09-27,215,56.53,12153.95,Partial
PO-047,S04,2026-09-22,2026-10-07,203,12.52,2541.56,Received
PO-048,S09,2026-07-25,2026-08-06,198,43.04,8521.92,Open
PO-049,S02,2026-08-23,2026-09-06,293,55.88,16372.84,Received
PO-050,S09,2026-09-06,2026-09-18,260,43.04,11190.4,Open
PO-051,S05,2026-07-20,2026-08-07,403,15.41,6210.23,Open
PO-052,S08,2026-09-05,2026-09-19,234,56.53,13228.02,Received
PO-053,S01,2026-09-14,2026-09-30,275,55.57,15281.75,Received
PO-054,S06,2026-07-22,2026-07-31,474,15.39,7294.86,Open
PO-055,S06,2026-08-20,2026-08-29,329,15.39,5063.31,Received
PO-056,S11,2026-07-21,2026-08-05,126,26.31,3315.06,Received
PO-057,S12,2026-09-02,2026-09-20,466,82.46,38426.36,Received
PO-058,S12,2026-08-17,2026-09-04,416,82.46,34303.36,Open
PO-059,S03,2026-08-18,2026-09-05,291,27.5,8002.5,Open
PO-060,S12,2026-07-30,2026-08-17,319,82.46,26304.74,Partial
